rider_id,stage_id,ranking,rider_time,rider_name,rider_country,rider_team,rider_age,lat,lng
103,1,1,15812,"Fernando Gaviria",Colombia,"Quick-Step Floors",23,5,-74
111,1,2,15812,"Peter Sagan",Slovakia,Bora-Hansgrohe,28,49,20
144,1,3,15812,"Marcel Kittel",Germany,"Team Katusha-Alpecin",30,51,10
95,1,4,15812,"Alexander Kristoff",Norway,"UAE Team Emirates",31,60,8
201,1,5,15812,"Christophe Laporte",France,Cofidis,25,46,2
163,1,6,15812,"Dylan Groenewegen",Netherlands,LottoNL-Jumbo,25,52,5
31,1,7,15812,"Michael Matthews",Australia,"Team Sunweb",27,-25,134
194,1,8,15812,"John Degenkolb",Germany,Trek-Segafredo,29,51,10
121,1,9,15812,"Jakob Fuglsang",Denmark,Astana,33,56,10
114,1,10,15812,"Rafal Majka",Poland,Bora-Hansgrohe,28,52,19
51,1,11,15812,"Vincenzo Nibali",Italy,Bahrain-Merida,33,42,13
213,1,12,15812,"Timothy Dupont",Belgium,"Wanty-Groupe Gobert",30,51,4
182,1,13,15812,"Thomas Boudat",France,"Direct Énergie",24,46,2
8,1,14,15812,"Geraint Thomas","Great Britain","Team Sky",32,54,-2
105,1,15,15812,"Bob Jungels",Luxembourg,"Quick-Step Floors",25,50,6
128,1,16,15812,"Michael Valgren",Denmark,Astana,26,56,10
107,1,17,15812,"Maximiliano Richeze",Argentina,"Quick-Step Floors",35,-38,-64
104,1,18,15812,"Philippe Gilbert",Belgium,"Quick-Step Floors",36,51,4
132,1,19,15812,"Edvald Boasson Hagen",Norway,"Team Dimension Data",31,60,8
52,1,20,15812,"Sonny Colbrelli",Italy,Bahrain-Merida,28,42,13
198,1,21,15812,"Jasper Stuyven",Belgium,Trek-Segafredo,26,51,4
216,1,22,15812,"Andrea Pasqualon",Italy,"Wanty-Groupe Gobert",30,42,13
101,1,23,15812,"Julian Alaphilippe",France,"Quick-Step Floors",26,46,2
87,1,24,15812,"Greg Van Avermaet",Belgium,"BMC Racing Team",33,51,4
123,1,25,15812,"Dmitriy Gruzdev",Kazakhstan,Astana,32,48,67
171,1,26,15812,"André Greipel",Germany,Lotto-Soudal,35,51,10
32,1,27,15812,"Tom Dumoulin",Netherlands,"Team Sunweb",27,52,5
41,1,28,15812,"Warren Barguil",France,Fortuneo-Samsic,26,46,2
172,1,29,15812,"Tiesj Benoot",Belgium,Lotto-Soudal,24,51,4
56,1,30,15812,"Kristijan Koren",Slovenia,Bahrain-Merida,31,46,15
127,1,31,15812,"Luis León Sánchez",Spain,Astana,34,40,-4
75,1,32,15812,"Mikel Landa",Spain,"Movistar Team",28,40,-4
106,1,33,15812,"Yves Lampaert",Belgium,"Quick-Step Floors",27,51,4
21,1,34,15812,"Romain Bardet",France,"AG2R La Mondiale",27,46,2
133,1,35,15812,"Reinardt Janse Van Rensburg","South Africa","Team Dimension Data",29,-31,23
131,1,36,15812,"Mark Cavendish","Great Britain","Team Dimension Data",33,54,-2
27,1,37,15812,"Oliver Naesen",Belgium,"AG2R La Mondiale",27,51,4
78,1,38,15812,"Alejandro Valverde",Spain,"Movistar Team",38,40,-4
