stage_id,ranking,rider_time,rider_name,rider_country,rider_team,rider_age
1,1,15812,Fernando Gaviria,Colombia,Quick-Step Floors,23
1,2,15812,Peter Sagan,Slovakia,Bora-Hansgrohe,28
1,3,15812,Marcel Kittel,Germany,Team Katusha-Alpecin,30
1,4,15812,Alexander Kristoff,Norway,UAE Team Emirates,31
1,5,15812,Christophe Laporte,France,Cofidis,25
1,6,15812,Dylan Groenewegen,Netherlands,LottoNL-Jumbo,25
1,7,15812,Michael Matthews,Australia,Team Sunweb,27
1,8,15812,John Degenkolb,Germany,Trek-Segafredo,29
1,9,15812,Jakob Fuglsang,Denmark,Astana,33
1,10,15812,Rafal Majka,Poland,Bora-Hansgrohe,28
1,11,15812,Vincenzo Nibali,Italy,Bahrain-Merida,33
1,12,15812,Timothy Dupont,Belgium,Wanty-Groupe Gobert,30
1,13,15812,Thomas Boudat,France,Direct Énergie,24
1,14,15812,Geraint Thomas,Great Britain,Team Sky,32
1,15,15812,Bob Jungels,Luxembourg,Quick-Step Floors,25
1,16,15812,Michael Valgren,Denmark,Astana,26
1,17,15812,Maximiliano Richeze,Argentina,Quick-Step Floors,35
1,18,15812,Philippe Gilbert,Belgium,Quick-Step Floors,36
1,19,15812,Edvald Boasson Hagen,Norway,Team Dimension Data,31
1,20,15812,Sonny Colbrelli,Italy,Bahrain-Merida,28
1,21,15812,Jasper Stuyven,Belgium,Trek-Segafredo,26
1,22,15812,Andrea Pasqualon,Italy,Wanty-Groupe Gobert,30
1,23,15812,Julian Alaphilippe,France,Quick-Step Floors,26
1,24,15812,Greg Van Avermaet,Belgium,BMC Racing Team,33
1,25,15812,Dmitriy Gruzdev,Kazakhstan,Astana,32
1,26,15812,André Greipel,Germany,Lotto-Soudal,35
1,27,15812,Tom Dumoulin,Netherlands,Team Sunweb,27
1,28,15812,Warren Barguil,France,Fortuneo-Samsic,26
1,29,15812,Tiesj Benoot,Belgium,Lotto-Soudal,24
1,30,15812,Kristijan Koren,Slovenia,Bahrain-Merida,31
1,31,15812,Luis León Sánchez,Spain,Astana,34
1,32,15812,Mikel Landa,Spain,Movistar Team,28
