ranking,rider_id,rider_time
1,82,38:46.0
1,87,38:46.0
1,83,38:46.0
1,81,38:46.0
1,88,38:46.0
1,85,38:46.0
1,84,38:46.0
1,86,38:46.0
2,8,38:50.0
2,1,38:50.0
2,4,38:50.0
2,5,38:50.0
2,2,38:50.0
2,3,38:50.0
2,6,38:50.0
2,7,38:50.0
3,106,38:53.0
3,101,38:53.0
3,105,38:53.0
3,104,38:53.0
3,108,38:53.0
3,107,38:53.0
3,103,38:53.0
3,102,38:53.0
4,61,38:55.0
4,65,38:55.0
4,67,38:55.0
4,62,38:55.0
4,68,38:55.0
4,66,38:55.0
4,63,38:55.0
4,64,38:55.0
5,31,38:57.0
5,35,38:57.0
5,34,38:57.0
5,36,38:57.0
5,32,38:57.0
5,33,38:57.0
5,38,38:57.0
5,37,38:57.0
6,11,39:21.0
6,18,39:21.0
6,17,39:21.0
6,14,39:21.0
6,16,39:21.0
6,15,39:21.0
6,13,39:21.0
6,12,39:21.0
7,112,39:36.0
7,116,39:36.0
7,115,39:36.0
7,114,39:36.0
7,117,39:36.0
7,111,39:36.0
7,113,39:36.0
7,118,39:36.0
8,121,39:37.0
8,126,39:37.0
8,125,39:37.0
8,122,39:37.0
8,128,39:37.0
8,123,39:37.0
8,124,39:37.0
9,146,39:38.0
9,141,39:38.0
9,147,39:38.0
9,142,39:38.0
9,143,39:38.0
9,144,39:38.0
9,148,39:38.0
9,145,39:38.0
10,72,39:39.0
10,75,39:39.0
10,78,39:39.0
10,71,39:39.0
10,77,39:39.0
10,76,39:39.0
10,74,39:39.0
10,73,39:39.0
11,58,39:52.0
11,54,39:52.0
11,55,39:52.0
11,51,39:52.0
11,57,39:52.0
11,52,39:52.0
11,56,39:52.0
11,53,39:52.0
12,26,40:01.0
12,28,40:01.0
12,21,40:01.0
12,24,40:01.0
12,27,40:01.0
12,25,40:01.0
12,23,40:01.0
12,22,40:01.0
13,166,40:01.0
13,161,40:01.0
13,165,40:01.0
13,168,40:01.0
13,164,40:01.0
13,162,40:01.0
13,167,40:01.0
13,163,40:01.0
14,194,40:02.0
14,198,40:02.0
14,191,40:02.0
14,197,40:02.0
14,193,40:02.0
14,192,40:02.0
14,195,40:02.0
15,95,40:24.0
15,96,40:24.0
15,91,40:24.0
15,93,40:24.0
15,92,40:24.0
15,97,40:24.0
15,98,40:24.0
15,94,40:24.0
16,155,40:28.0
16,156,40:28.0
16,151,40:28.0
16,158,40:28.0
16,157,40:28.0
16,152,40:28.0
16,153,40:28.0
16,154,40:28.0
17,47,40:32.0
17,41,40:32.0
17,42,40:32.0
17,43,40:32.0
17,44,40:32.0
17,48,40:32.0
17,46,40:32.0
17,45,40:32.0
18,182,40:37.0
18,185,40:37.0
18,183,40:37.0
18,181,40:37.0
18,187,40:37.0
18,184,40:37.0
18,188,40:37.0
18,186,40:37.0
19,176,40:38.0
19,173,40:38.0
19,174,40:38.0
19,172,40:38.0
19,178,40:38.0
19,175,40:38.0
19,177,40:38.0
19,171,40:38.0
20,131,40:38.0
20,138,40:38.0
20,132,40:38.0
20,133,40:38.0
20,134,40:38.0
20,135,40:38.0
20,136,40:38.0
20,137,40:38.0
21,217,41:10.0
21,214,41:10.0
21,211,41:10.0
21,215,41:10.0
21,213,41:10.0
21,212,41:10.0
21,218,41:10.0
21,216,41:10.0
22,205,42:09.0
22,203,42:09.0
22,206,42:09.0
22,207,42:09.0
22,204,42:09.0
22,208,42:09.0
22,201,42:09.0
22,202,42:09.0
